song_title,artist,lyrics
Master Of None,Beach House, always go parties pluck feathers birds knees beg please want picture words know theyd want first call home always rub hands much know reasons will catch bone run fingers together know easy devils plan call jack trades master none cry time cause I fun always want forgiven devil ask knees free embed share urlcopy embed copy
Wishes,Beach House, roses lawn know side daze will change wishes wheel wishes wheel voices hall will carry talking carry weight can take wishes wheel even real contact make moment memory aches can tell well wishes wheel supposed feel one life happens rarely twice one life happens rarely twice roses lawn will know side hill forever still wishes wheel supposed feel wishes wheel wishes wheel embed share urlcopy embed copy
Lazuli,Beach House, blue life ends night see come wonder eyes motion high dare slip make us suffer like nothing like lapis lazuli let go back like can replaced like can replaced like can replaced like can replaced like can replaced like can replaced like can replaced like can replaced nothing like lapis lazuli like can replaced nothing like lapis lazuli like can replaced nothing like lapis lazuli like can replaced nothing like lapis lazuli like can replaced nothing like lapis lazuli like can replaced nothing like lapis lazuli embed share urlcopy embed copy
Myth,Beach House, drifting see road came rolling cheek say just mean never seems help name help name built myth know just give comes momentary bliss consequence help name help name found new direction arrows falling sun canyon calling come greet let know one can keep hangin dead gone built myth know just give materialize let ashes fly help name help name it embed share urlcopy embed copy
Walk In The Park,Beach House, go walk park need anything hand sometimes hold anything face see door standing anymore matter time slip mind life slip mind matter time face saw door looking anymore name call place waiting embrace world love behold hold anymore matter time will slip mind life slip mind matter time want want want tell time can run want tell time can run want tell time can run want tell time can run want tell time can run want tell time can run me embed share urlcopy embed copy
Myth,Beach House, drifting see road came rolling cheek say just mean never seems help name help name built myth know just give comes momentary bliss consequence help name help name found new direction arrows falling sun canyon calling come greet let know one can keep hangin dead gone built myth know just give materialize let ashes fly help name help name it embed share urlcopy embed copy
Parallel Lines,Junior Boys, found words really say stutter verse mumbled punctuation remembering line empty metaphor savored never cured forgot lines easy enough fake need moment rememorize model like curse halfdisguised leers jeers whispers tears final taste taken away odds ends final amends right say just long really think give little room get concentration just enough know I missing education borrowing hours gave wonder ever breathe thoughts will hear floating whisper things paralleled voices raised finally fell leers jeers whispers tears final taste taken away odds ends final amends right say just long really think lights show sets get waits calls written tests know leers jeers whispers tears final taste taken away odds ends final amends right say just long really think so embed share urlcopy embed copy
Sneakin’,Drake, yeah got london da track gods doin man can plan devils details I satanic bout take city can stand accountant say sinkin like titanic david blaine last summer man vanish get hits like somebody pitchin underhanded got spanish ting convinced know spanish really get talkin understand right away wait niggas man I twentynine patience us plus never met nobody label nigga just pop music pay nigga yeah shit like still love used love face time shawty tour textin purple hearts know war yuh niggas keep reachin dissin can afford mistakes end make call bros assistance gon make call bros assistance niggas keep reachin dissin put fuckedup position yah gon make call bros assistance make call bro uh baby I savage romantic come around rapper niggas start panic pockets goin like titanic got head last night outstandin hatin hatin now hatin now playin waitin now used sleep inside den got acres now mansion fightin niggas I sprayin now blastin pay mind sneak diss nope will spend dime freak bitch broke niggas takin cheap shots cheap shit type stand line free shit broke bitch baby girl gon suck till jaws locked suck gon make put bitch call block fuckin ones poppin ones shoppin one droppin niggas ones ones ones duckin heaters come nigga snitchin people huh shh savage aka reaper huh pussy niggas gettin shot reachin huh ya dig niggas keep reachin dissin shut fuck can afford mistakes end count fuck make call bros assistance gon make call bros assistance bros niggas keep reachin dissin hol put fuckedup position make call bros assistance make call bro dawg need love I goat just hit beat float I sellin arenas puttin show tryna change life around everyone know share wealth fuck supposed grow moms stressed lot things need chain smokin house hard breathe used hit ts febreze jordan pull tl now I cheese I ama turn tsx benz soon I ama see lot blessins friends soon hunnidfiftyinch screen bedroom man nigga need leg room shit like even wanna look score face time shawty tour textin purple hearts know war yuh niggas keep reachin dissin can afford mistakes end make call bros assistance gon make call bros assistance niggas keep reachin dissin put fuckedup position make call bros assistance make call bro not embed share urlcopy embed copy
Childs Play,Drake, breaking news niggas girlfriend went season opener basketball game best believe fucking niggas team fucking somebody basketball team game right right yeah say bounce shit like woah yeah bounce shit like woah fairytale already know like take mall get new outfit girl just childs play bounce shit like woah woah woah woah woah heard stories already know like take mall get new outfit girl just childs play bounce shit like woah yeah bounce shit like woah gotta fight cheesecake know love go say I actin lightskin can take nowhere place families drive camrys go disney need know business wildin super childish go cvs kotex bugatti took key tried hide can drive put mileage find awkward silence momma saint yes raised real good like make give back hood make give back say bounce shit like woah yeah bounce shit like woah fairytale already know like take mall get new outfit girl just childs play bounce shit like woah woah woah woah woah heard stories already know like take mall get new outfit girl just childs play bounce shit like woah yeah bounce shit like woah yeah rode dick like soldier rode like soldier rode like jungle soldier rode like yeah yeah got yeah wanna fall love know I someone trust know give chanel like hug know knew couple friends way many girls slept bed say different number one head lying protect lot past checkered like louis just got married twenties now fun city love like college running back pack bag gon end staying I took hood never give back just wanna let know someone love back cadillac like I teddy pendergrass whippin shit I getting ready riding rode dick like soldier rode like soldier rode like melpomene soldier rode dick like soldier rode like soldier rode like jungle soldier rode dick like soldier rode like soldier rode like melpomene soldier burrrrat stick bburrrrat stick burrrrat stick bababa stick burrrrat stick bababa stick burrrrat stick bababa stick burrrrat stick bababa stick burrrrat stick bababa stick thank thanks drake thanks baby motherfuckers drunk tired tired I tired boss embed share urlcopy embed copy
Jumpman,Drake, young metro trust I gon shoot yeah ah yeah halloween taliban taliban I gon shoot yeah jumpman jumpman jumpman boys somethin just spent like two three weeks country boys somethin just just bluffin call hit dance like usher woo just found tempo like I dj mustard woo hit gin bili left hand like woo lobster c line babies miss chicken fingers french fries hoes wanna diss jumpman jumpman jumpman boys somethin uh uh uh think need robitussin way many questions must think trust ya searchin answers know nothing woo see em tweakin know somethings comin woo jumpman jumpman jumpman boys somethin woo jumpman jumpman jumpman fuck expecting woo chitown chitown michael jordan just text woo jumpman jumpman jumpman jumpman jumpman jumpman just seen jet take somethin boys just bluffin boys just bluffin jumpman jumpman jumpman boys somethin tryna join team told wait chicken wings fries go dates nobu nobu nobu nobu nobu nobu just threw private dinner la trappin hobby way money comin fast never gettin sleep just buy another safe bentley spurs phantom jordan fadeaway yeah jumpman jumpman need introduction jumpman jumpman metro boomin production wow hundred cousins memphis country wow tell stay night valet car come fuck now jumpman jumpman live tnt I flexin woo jumpman jumpman gave collection woo jump say jump girl can take direction woo mutombo bitches keep gettin rejected woo heard came magic city monday heard club wild starstudded bunch girls goin wild chain flooded em like wow cup dirty dopeman dopeman dopeman dopeman dopeman dopeman money counter choppers floor just copped tempo dj mustard woo way much codeine adderall just count big racks woah know I ama get bitch back woah count racks now I ama like woah chanel n chanel n well got em jumpman jumpman jumpman boys somethin just spent like two three weeks country boys somethin just just bluffin jumpman jumpman jumpman boys somethin embed share urlcopy embed copy
Hotline Bling,Drake, used call used used yeah used call cell phone latenight need love call cell phone latenight need love know hotline bling can mean one thing know hotline bling can mean one thing ever since left city got reputation now everybody knows feel left girl got got stressed ever since left city started wearing less goin glasses champagne dance floor hangin girls I never seen used call cell phone latenight need love call cell phone latenight need love know hotline bling can mean one thing know hotline bling can mean one thing ever since left city just get along make feel like wrong going places belong ever since left city got exactly asked running pages passport hangin girls I never seen used call cell phone latenight need love call cell phone latenight need love know hotline bling can mean one thing know hotline bling can mean one thing days wonder bendin backwards someone else wonder rolling backwoods someone else things taught gettin nasty someone else need one else need nobody else never alone always touching road used always stay home good girl zone yeah just right now someone else used call cell phone latenight need love call cell phone latenight need love know hotline bling can mean one thing know hotline bling can mean one thing ever since left city embed share urlcopy embed copy
Big Rings,Drake, yeah know just signed deal need advance next one know I ama around yeah need metro boomin want nigga got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team man time alive vs mine oh talkin teams oh talkin teams oh switchin sides wanna come look smile look owl chase girls run mile say gon ride I will buy tires game different get one shot niggas go foul man fuck em man want get involved gon knock ya top I dawgs new season still breathin got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team man time alive I drinkin lean thought died run kidnappers I talkin bout kidnappers I talkin bout murderin niggas I talkin bout carjackers just battle rapper I official trapper niggas droppin subliminals nigga just jibberjabber take mello yello fill red foreverever niggas jealous jealous man niggas get scared tellin tellin fuck check everything bought ice feds came bought bitch new celine got rings got racks like serena rings aquafina bitch aquafina pluto jupiter go venus I fresh store I cleaners keepin score niggas losin got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team got really big team need really big rings need really nice things better comin strings better comin strings need really nice things need really big rings got really big team man time embed share urlcopy embed copy
Know Yourself,Drake, hol yute hol hol hol hol hol sleepin streets shaky warrior yeah oliver niko shit man fort york shit yknow boi da poppin yeah yeah runnin woes countin money know goes pray real live forever man pray fakes get exposed want ferrari swerve want bugatti just hurt rockin jewelry purpose niggas want spot deserve like serious take I always guess know shakiness man time city turned I will take fine find find know nigga named johnny bling put finer things job sellin girbaud jeans yellow techno marine kanye dropped polos backpacks man ethan pushin subaru hatchback man I talkin way hashtags runnin woes yeah runnin woes know shit go know shit go know shit go runnin woes know shit go know shit go know shit go fuck niggas irrational woah nasty flow top boy shit I international reps got p reign chubby tj winnie woah yeah know shit go might declare holiday soon baka get back road yeah know shit go irrational wanna patch wanna mash woah nigga jibba whip ride passenger I way stay I two I three get back woah I turnin nigga thinks money women like life took just shit happened go know runnin running woes know shit go know shit go know shit go runnin woes know shit go know shit go know shit go runnin woes know shit go shell yuh eye nuh big always haffi look yuh know yuh head book dun know de unruly boss dis man bomboclat otha boy nuh like ovo chromatic yuh can jus suck yuh mada apology nuh like nuh like neither youth girl say cute diss will get execute truth ovo unruly machine gun shots woes kembed share urlcopy embed copy
Wu-Tang Forever,Drake, machine gun rap niggas back uh machine gun rap niggas back uh machine gun rap niggas back uh machine gun rap niggas back just love I yeah shit ten used friends girl even back look hesitation tell baby nobody elses yeah shit belong nobody nobody elses yeah shit belong nobody made think game girl switched new thing young nigga came wutang nowadays ask got say nobody elses yeah shit belong nobody nobody elses yeah shit belong nobody sure sure yeah sure sure feel comin home nigga night nervous hit lights know fuckin spite man right right fuck good hit dallas like baby like machine gun raps niggas back stadium packed just glad see city map just gave city life first bout right niggas looking like preach open cases half million find peace knowing harder streets know luckily grow go niggas know know getting just like rush see enemy somewhere club realize just position reciprocate energy ever worried pretends people like mazin best friend start become distant memory things change life life started lacking synergy fuckin mentally think meant yeah paranoid always rolling mothafuckin boys gotta understand really leave ass mothafuckin choice man just love I yeah shit ten used friends girl even back look hesitation tell baby nobody elses yeah shit belong nobody nobody elses yeah shit belong nobody made think game girl switched new thing young nigga came wutang nowadays ask got say nobody elses yeah shit belong nobody nobody elses yeah shit belong nobody sure sure yeah sure sure feel embed share urlcopy embed copy
Headlines,Drake, might strung compliments overdosed confidence started give fuck stopped fearin consequence drinkin every night drink accomplishments faded way long I floatin consciousness sayin I back I agree just take time shit still believe someone tell fell ooh needed want see pick back well whered leave know exaggerated things now got like tuck napkin shirt I just mobbin like know good well want problem like gon make someone around catch body like ayy please ayy one us goes go ayy drizzy got money drizzy gon pay brothers even gotta say just something know know know know know know know know know know yeah know yeah real rise fuck guys even gave em chance decide now something know know know know yeah yellin money everything money mind wanna ask got empty tell apologize happened time says miss old drake girl tempt get will new shit got overdue better supposed I like gotta still can deny fact true listening expressin feelings soapopera rappers niggas sound like children thinkin bout come make killin guess really just millions know even got like gon hype make catch body like live just hobby like get shit play even gotta say know know know know know know know know know know yeah know yeah real rise fuck guys even gave em chance decide now something know know know know yellin money everything money mind mind mindmind tell em apologize happened time time timetime know know know know know know know know know know yeah embed share urlcopy embed copy
Started From the Bottom,Drake, started zombie track started bottom now started bottom now whole team fuckin started bottom now started bottom now whole team nigga started bottom now started bottom now whole team nigga started bottom now started bottom now whole team fuckin done kept real jump livin mommas house argue every month nigga tryna get workin night traffic way home uncle callin like gave keys told bring right back nigga just think funny goes now I road half million show started bottom now started bottom now whole team fuckin started bottom now started bottom now whole team nigga started bottom now started bottom now whole team fuckin started bottom now started bottom now whole team nigga boys tell stories bout man say never struggled hungry yeah doubt nigga turn boy man really much poppin without us nigga just want credit due I ama worry bout give fuck nigga just reminder wear every single chain even I house started bottom now started bottom now whole team fuckin started bottom now started bottom now whole team nigga new niggas nigga feel fuck fake friend real friends like much explainin story stayed never changed new niggas nigga feel fuck fake friend real friends like much explainin story stayed money fame started bottom now started bottom now whole team fuckin started bottom now started bottom now whole team nigga started bottom now started bottom now whole team nigga started bottom now started bottom now whole team nigga embed share urlcopy embed copy
"Hold On, We're Going Home",Drake, got eyes everything see want hot love emotion endlessly can get left mark want hot love emotion endlessly good girl know act different around good girl know know exactly just hold going home just hold going home hard things alone just hold going home got eyes everything see want hot love emotion endlessly can get left mark want hot love emotion endlessly good girl know act different around good girl know know exactly just hold going home going home just hold going home going home hard things alone things alone just hold going home going home going home girl one gave everything loved think something baby think something baby girl one gave everything loved think something baby think something baby good girl know act different around good girl know know exactly oh just hold going home going home just hold going home going home hard things alone things alone just hold going home going home home going home hold oh oh embed share urlcopy embed copy
"Hold On, We're Going Home",Drake, got eyes everything see want hot love emotion endlessly can get left mark want hot love emotion endlessly good girl know act different around good girl know know exactly just hold going home just hold going home hard things alone just hold going home got eyes everything see want hot love emotion endlessly can get left mark want hot love emotion endlessly good girl know act different around good girl know know exactly just hold going home going home just hold going home going home hard things alone things alone just hold going home going home going home girl one gave everything loved think something baby think something baby girl one gave everything loved think something baby think something baby good girl know act different around good girl know know exactly oh just hold going home going home just hold going home going home hard things alone things alone just hold going home going home home going home hold oh oh embed share urlcopy embed copy
